iter	Passed	Remaining
0	174	174695
1	183	91768
2	190	63365
3	195	48648
4	201	40169
5	206	34206
6	211	30056
7	215	26666
8	217	23984
9	219	21767
10	222	19965
11	224	18513
12	226	17205
13	228	16080
14	230	15108
15	232	14279
16	233	13530
17	235	12871
18	238	12293
19	239	11740
20	241	11273
21	247	11015
22	249	10589
23	250	10195
24	253	9868
25	254	9547
26	256	9252
27	258	8976
28	260	8727
29	262	8486
30	263	8251
31	265	8032
32	267	7831
33	268	7629
34	269	7441
35	271	7263
36	272	7094
37	273	6935
38	275	6782
39	276	6638
40	277	6501
41	279	6372
42	280	6250
43	283	6152
44	285	6054
45	286	5950
46	288	5844
47	289	5745
48	291	5652
49	292	5564
50	294	5484
51	296	5410
52	298	5332
53	299	5251
54	301	5173
55	303	5121
56	305	5049
57	306	4984
58	308	4925
59	312	4888
60	313	4828
61	315	4767
62	316	4711
63	318	4656
64	319	4601
65	322	4561
66	324	4520
67	327	4486
68	328	4437
69	330	4389
70	331	4342
71	333	4296
72	334	4252
73	336	4207
74	337	4168
75	339	4129
76	341	4094
77	342	4052
78	344	4015
79	345	3976
80	347	3937
81	348	3899
82	349	3856
83	350	3822
84	351	3787
85	353	3753
86	355	3734
87	357	3703
88	359	3677
89	360	3645
90	361	3613
91	363	3585
92	365	3560
93	366	3532
94	367	3503
95	369	3480
96	371	3456
97	373	3434
98	375	3413
99	376	3389
100	378	3369
101	380	3346
102	382	3329
103	384	3311
104	386	3293
105	387	3271
106	389	3249
107	391	3231
108	392	3209
109	393	3187
110	395	3164
111	396	3142
112	397	3120
113	399	3104
114	400	3084
115	402	3066
116	403	3043
117	404	3025
118	406	3007
119	407	2987
120	408	2968
121	409	2948
122	410	2929
123	411	2910
124	413	2895
125	415	2878
126	416	2859
127	417	2841
128	418	2824
129	419	2806
130	420	2789
131	421	2771
132	422	2753
133	423	2736
134	424	2719
135	425	2703
136	426	2687
137	428	2674
138	429	2659
139	430	2644
140	431	2629
141	432	2612
142	433	2597
143	434	2582
144	435	2570
145	437	2560
146	439	2547
147	440	2536
148	442	2528
149	444	2519
150	447	2514
151	449	2509
152	452	2505
153	455	2502
154	458	2498
155	461	2494
156	463	2487
157	466	2486
158	468	2476
159	469	2467
160	471	2456
161	473	2450
162	478	2454
163	480	2446
164	481	2438
165	484	2432
166	486	2426
167	488	2421
168	493	2424
169	495	2419
170	497	2411
171	499	2404
172	501	2399
173	504	2393
174	505	2384
175	507	2375
176	509	2370
177	511	2362
